SPYBeta,SPYWeight,Return,Volatility,Color
0.54,0.416,0.0490677245148467,0.062083871934084,#0008FF
0.6,0.378,0.050681680872203,0.0644291190727903,#0014FF
0.66,0.358,0.0522152071819354,0.0667653446913498,#0020FF
0.72,0.346,0.0536975789142812,0.069119509330808,#002CFF
0.77,0.346,0.0551014629251287,0.0714725091851397,#0036FF
0.85,0.323,0.0564376329538094,0.0738303472682321,#0046FF
0.89,0.33,0.0576923373764249,0.0761756299613358,#004EFF
0.94,0.329,0.0588688869188804,0.07851063933439,#0058FF
0.98,0.333,0.0599995097486788,0.0808818434641386,#0060FF
1.04,0.326,0.0610440602932946,0.083210103590667,#006CFF
1.05,0.342,0.0620782237468625,0.0855739330445406,#006EFF
1.07,0.352,0.0630615217636652,0.0879350990324604,#0072FF
1.07,0.37,0.0639988704203448,0.0902770332873952,#0072FF
1.13,0.36,0.0649004919059901,0.0926152604812667,#007EFF
1.11,0.385,0.0658009619130907,0.094971940523997,#007AFF
1.14,0.387,0.0666619715790546,0.0973102480837445,#0080FF
1.14,0.402,0.0675120034994427,0.09966820698124,#0080FF
1.15,0.412,0.0683416802787418,0.1020211309526882,#0082FF
1.17,0.417,0.0691548974335701,0.1043724998691741,#0086FF
1.18,0.426,0.0699481369147791,0.1067047829845723,#0088FF
1.17,0.444,0.0707362912796475,0.1090582334155009,#0086FF
1.2,0.443,0.0715017966273082,0.1113800718855281,#008CFF
1.2,0.456,0.072287391281316,0.1137830955739236,#008CFF
1.22,0.459,0.0730273002108217,0.11609984030615,#0090FF
1.21,0.476,0.0737867588466831,0.1184628552710795,#008EFF
1.2,0.493,0.0745233145273384,0.1208031046303807,#008CFF
1.21,0.5,0.0752517476272029,0.1231307215460593,#008EFF
1.22,0.507,0.0759863749483675,0.1255020164300269,#0090FF
1.25,0.504,0.076703819370935,0.1278787533426419,#0096FF
1.23,0.525,0.0774118255486709,0.1301620690371143,#0092FF
1.21,0.547,0.0781206839890542,0.1325346742779735,#008EFF
1.23,0.548,0.0788435504684033,0.1349117571603158,#0092FF
1.24,0.554,0.0795476846471253,0.1372682284536489,#0094FF
1.22,0.576,0.0802400448835895,0.1396333617769228,#0090FF
1.24,0.576,0.080930290794255,0.1419403921647965,#0094FF
1.27,0.571,0.0816222006046724,0.1443299829828886,#009AFF
1.26,0.587,0.0823139422216331,0.1466691714079985,#0098FF
1.25,0.603,0.0829841655265929,0.1489676905712773,#0096FF
1.25,0.614,0.0836819817661104,0.1513794450590553,#0096FF
1.27,0.613,0.0843357281143196,0.1536559207069918,#009AFF
1.28,0.618,0.0850158476330199,0.1560433857689564,#009CFF
1.26,0.64,0.0857072779831245,0.1584298653183422,#0098FF
1.29,0.633,0.0863563269093905,0.1607589858633454,#009EFF
1.28,0.649,0.0870366011728247,0.1631159905040989,#009CFF
1.27,0.665,0.0876953336024543,0.1654271889149269,#009AFF
1.24,0.694,0.0883460874015871,0.1678114857894751,#0094FF
1.25,0.698,0.0890107603224262,0.1701357482911313,#0096FF
1.26,0.702,0.0896768405720389,0.1724829262419256,#0098FF
1.27,0.706,0.0903442533142527,0.1748531433033374,#009AFF
1.27,0.716,0.0909903312927401,0.177168940014534,#009AFF
1.28,0.72,0.0916647786349583,0.1795864733871784,#009CFF
1.28,0.73,0.0923166346155405,0.1819323389781463,#009CFF
1.28,0.74,0.0929684905961227,0.1842839010898622,#009CFF
