Price,Close,High,Low,Open,Volume
Ticker,KO,KO,KO,KO,KO
Date,,,,,
2020-01-02,45.74509811401367,46.11112429576437,45.553762856542676,46.01961695698384,11867700
2020-01-03,45.49553298950195,45.745099621078595,44.99640607309176,45.18773816349472,11354500
2020-01-06,45.47889709472656,45.678549774498435,45.35411694656938,45.46226228033629,14698300
2020-01-07,45.1295166015625,45.42067350383659,45.046329821876256,45.29589333430722,9973900
2020-01-08,45.21269989013672,45.45394597532007,45.046326343610815,45.146151106200755,10676000
2020-01-09,46.036258697509766,46.086172660925286,45.62031852249554,45.75341925156523,15398000
2020-01-10,46.19432067871094,46.52707413026176,46.127771892424036,46.15272729061011,13040100
2020-01-13,46.69345474243164,46.77664152555711,46.10281715810032,46.194324523561754,14302900
2020-01-14,46.58530044555664,46.82654651304463,46.44388230670821,46.78495312946402,16345300
2020-01-15,47.1676139831543,47.400539453346916,46.58529713430123,46.58529713430123,17735400
2020-01-16,47.26744842529297,47.37559377579232,47.092754286820906,47.29240382411121,10234100
2020-01-17,47.367271423339844,47.54196872865386,47.25080866871187,47.309040046025856,14264300
2020-01-21,47.558597564697266,47.62514951518579,47.059470629519964,47.29239610948648,11968900
2020-01-22,47.924625396728516,47.94958079066933,47.566916607842906,47.62514797595251,12869600
2020-01-23,48.10764694213867,48.12428175822387,47.61683735995283,47.733300112781336,12858900
2020-01-24,47.98286437988281,48.14092052221128,47.799849666280956,48.12428253248638,8594300
2020-01-27,47.81647872924805,48.124273548267006,47.525321896847885,47.591870669951575,14359900
2020-01-28,47.42550277709961,48.04109570273437,47.39222997105961,47.79153220388808,15240200
2020-01-29,47.42550277709961,47.63347288836685,47.13434589067428,47.41718536893262,13163600
2020-01-30,48.9644775390625,49.06430229176476,48.04940725694817,48.19082856553374,20225600
2020-01-31,48.581809997558594,49.14748884620884,48.373839925948104,49.05598150696079,17685200
2020-02-03,48.7315559387207,49.0559887908659,48.68164197170916,48.87297408519551,12333600
2020-02-04,48.94784927368164,49.45529689188204,48.764834546233025,48.872979900941054,15417900
2020-02-05,48.95615005493164,49.14748529957282,48.698269215701856,48.997746604949164,11414900
2020-02-06,49.07262420654297,49.363781065412454,48.94784088224362,49.06430362579141,9347000
2020-02-07,49.2390022277832,49.34714757380542,48.95616275052112,48.98112132167828,8757800
2020-02-10,49.70485305786133,49.77972241952771,49.32218884195398,49.34714423805217,7984900
2020-02-11,49.571754455566406,49.74644858251247,49.34714636090491,49.67989979893053,7431200
2020-02-12,49.42201614379883,49.72149360588045,49.34714677827842,49.480247519940036,9179100
2020-02-13,49.58839797973633,49.77973011727688,49.2556445045696,49.39706584219577,8173200
2020-02-14,49.871238708496094,49.971063484152964,49.59671660872419,49.605037191162836,9965500
2020-02-18,49.521846771240234,49.854600251486005,49.45529797921451,49.754775476761225,10075700
2020-02-19,49.72148895263672,49.912821052533495,49.47192548204839,49.50519828432092,6265700
2020-02-20,49.679901123046875,49.79636387744833,49.17245354455021,49.64662514368302,7597200
2020-02-21,50.02098083496094,50.02098083496094,49.43866378647481,49.50521258361381,10842400
2020-02-24,48.78978729248047,49.74644785949911,48.72323533649382,49.172451519287925,14415500
2020-02-25,48.09933090209961,49.24732689606132,47.93295416519073,48.83138664047528,15915100
2020-02-26,47.91630935668945,48.640047583264646,47.816484598096,48.23242479450258,15837800
2020-02-27,45.6951904296875,48.15755564150662,45.65359704454045,47.541965925237776,23754000
2020-02-28,44.497283935546875,44.830034191099465,42.90839250050768,44.78012339812111,40890600
2020-03-02,46.51875686645508,46.55203284865791,44.671984281410566,44.86331641901835,25698600
2020-03-03,46.635223388671875,47.824812793668116,46.28583191790768,47.21753721765826,27099200
2020-03-04,49.01439666748047,49.080948629518815,46.926378045796575,46.926378045796575,20526100
2020-03-05,47.200897216796875,48.390483317797504,46.7433604394443,48.08268844579197,17948500
2020-03-06,45.96969985961914,46.51042327548114,44.904894186579014,45.70349844135911,22353900
2020-03-09,43.141319274902344,44.57215461894906,42.82520382539556,43.299375412969745,27898300
2020-03-10,44.638702392578125,44.75516514150526,42.567318788437845,44.272676156896864,27457400
2020-03-11,43.43247985839844,43.7985093069549,42.54236798310889,43.548942619894675,22653900
2020-03-12,39.231483459472656,41.5357927786647,38.84049861690255,40.3794794147947,31913100
2020-03-13,40.67486572265625,41.58956778016827,39.11399769780063,41.54760641510226,33697200
2020-03-16,37.98110580444336,40.17974931341849,34.54887570509483,35.44679700455114,28682300
2020-03-17,39.59233093261719,39.8608670439751,38.073420951771595,38.5014025800753,32106700
2020-03-18,37.63704299926758,37.88879836477635,34.90133059838796,37.54473632661047,35408300
2020-03-19,35.10274124145508,37.47760817268899,34.43979128916315,37.22585595824486,41956900
2020-03-20,32.140445709228516,35.304140159626094,31.47749578647295,35.20343991857555,51513500
2020-03-23,31.519458770751953,32.63556143606148,30.436920720044906,32.52646763529486,44978500
2020-03-24,33.10548782348633,34.7418813663206,32.58519969438272,34.59082945767732,49096200
2020-03-25,34.918128967285156,36.4622136028404,33.491528510325885,34.09573651590952,42511700
2020-03-26,37.1671142578125,37.98950654062981,35.62302993873426,35.950308140944884,37821700
2020-03-27,35.92512893676758,36.94892157183689,35.58106687393558,36.638427320306235,23297900
2020-03-30,37.76292419433594,38.232863958965105,36.118139819937966,36.118139819937966,23446000
2020-03-31,37.133544921875,38.19090547044314,36.97410260458703,37.82166911404853,25373900
2020-04-01,35.346099853515625,36.63004158748648,35.077563731645284,35.64820379092053,21936400
2020-04-02,36.88179016113281,37.083190632054574,35.127911987608826,35.43001589519424,17621900
2020-04-03,36.781089782714844,37.20906818266225,36.34471782914338,36.5712957589518,14207100
2020-04-06,39.16434097290039,39.44966093067255,37.50277293688684,38.09019675597097,22850000
2020-04-07,39.03007125854492,40.7839490876075,39.00489700492461,40.70003277473838,21279600
2020-04-08,40.129390716552734,40.3559685905049,38.87902043584133,39.13916291240711,18937100
2020-04-09,41.119632720947266,41.73223094672721,40.57416692478,40.64969290884619,19165300
2020-04-13,39.382537841796875,40.817528321570116,39.021691833264,40.57416646442877,19586000
2020-04-14,41.052494049072266,41.32942370386844,39.38253537127483,40.23010183971831,21801900
2020-04-15,39.95317459106445,40.61612447765408,39.78533873100087,40.03709092049486,12893200
2020-04-16,39.52518844604492,40.154570448059665,39.239868477083476,39.77694380781274,17606800
2020-04-17,40.330810546875,40.532211048305754,39.751776902554255,40.532211048305754,19844600
2020-04-20,39.0468635559082,40.28045346774273,38.862246987665635,40.104227252110036,18957900
2020-04-21,38.08180618286133,39.35735403363225,37.14192679732343,38.501394165304305,26863700
2020-04-22,38.333560943603516,38.727974698354515,38.18250900353728,38.644055175427454,15811600
